A0,A1,A2,A3
5.47,5.517,0,5.442
5.475,5.484,0,5.414
5.39,5.442,0,5.465
5.456,5.475,0,5.409
5.442,5.465,0,5.409
5.512,5.461,0,5.418
5.461,5.493,0,5.353
5.493,5.507,0,5.428
5.418,5.47,0,5.461
5.461,5.451,0,5.386
5.475,5.447,0,5.451
5.357,5.503,0,5.456
5.47,5.465,0,5.367
5.395,5.465,0,5.353
5.386,5.456,0,5.367
5.447,5.414,0,5.409
5.357,5.479,0,5.447
5.47,5.428,0,5.428
5.465,5.536,0,5.423
5.451,5.507,0,5.461
5.465,5.475,0,5.428
5.432,5.517,0,5.423
5.475,5.489,0,5.39
5.432,5.512,0,5.465
5.432,5.461,0,5.418
5.456,5.465,0,5.404
5.451,5.503,0,5.479
5.4,5.522,0,5.418
5.423,5.461,0,5.414
5.423,5.447,0,5.395
5.461,5.451,0,5.414
5.371,5.475,0,5.409
5.381,5.503,0,5.432
5.4,5.503,0,5.39
5.503,5.475,0,5.381
5.475,5.451,0,5.353
5.447,5.475,0,5.442
5.353,5.493,0,5.404
5.428,0.42,0,0
5.456,5.409,0,5.353
5.442,5.493,0,5.489
5.418,5.54,0,5.423
5.423,5.465,0,5.447
5.414,5.475,0,5.456
5.432,5.428,0,5.414
5.409,5.465,0,5.376
5.456,5.451,0,5.418
5.428,5.456,0,5.447
5.475,5.437,0,5.381
5.349,5.423,0,5.428
5.456,5.47,0,5.409
5.428,5.47,0,5.442
5.432,5.479,0,5.414
5.414,5.437,0,5.456
5.432,5.498,0,5.423
5.414,5.484,0,5.432
5.437,5.517,0,5.414
5.456,5.451,0,5.437
5.409,5.479,0,5.404
5.423,5.437,0,5.432
5.39,5.451,0,5.432
5.432,5.461,0,5.418
5.451,0.42,0,0
5.447,5.451,0,5.414
5.4,5.493,0,5.418
5.414,5.465,0,5.414
5.437,5.465,0,5.432
5.409,5.461,0,5.451
5.442,5.479,0,5.493
5.432,5.465,0,5.418
5.414,5.47,0,5.414
5.414,5.47,0,5.39
5.475,5.489,0,5.447
5.4,0.42,0,0
5.456,5.461,0,5.414
5.4,5.493,0,5.404
5.404,5.423,0,5.442
5.39,5.475,0,5.428
5.432,5.447,0,5.437
5.4,5.447,0,5.432
5.395,5.479,0,5.437
5.437,5.451,0,5.465
5.461,5.493,0,5.475
5.404,5.456,0,5.461
5.381,5.489,0,5.498
5.442,5.489,0,5.498
5.386,5.461,0,5.437
5.428,5.489,0,5.451
5.484,5.456,0,5.456
5.456,5.47,0,5.451
5.447,5.503,0,5.451
5.432,5.461,0,5.423
5.39,5.47,0,5.428
5.423,5.456,0,5.437
5.428,5.465,0,5.451
5.414,5.465,0,5.414
5.465,5.456,0,5.461
5.461,5.475,0,5.386
5.376,5.442,0,5.432
5.456,5.479,0,5.475
5.4,5.451,0,5.414
5.39,5.451,0,5.418
5.428,5.475,0,5.465
5.447,5.484,0,5.447
5.451,5.479,0,5.418
5.414,5.47,0,5.39
5.479,5.451,0,5.437
5.442,5.47,0,5.409
5.432,5.498,0,5.418
5.465,5.465,0,5.447
5.386,5.475,0,5.418
5.432,5.47,0,5.404
5.465,5.461,0,5.447
5.465,5.465,0,5.4
5.47,5.489,0,5.432
5.447,5.465,0,5.404
5.428,5.498,0,5.428
5.47,5.484,0,5.409
5.39,5.442,0,5.465
5.461,5.484,0,5.404
5.456,5.447,0,5.353
5.428,5.451,0,5.4
5.423,5.489,0,5.47
5.493,5.489,0,5.437
5.442,5.484,0,5.409
5.428,5.475,0,5.479
5.4,5.479,0,5.432
5.451,5.442,0,5.414
5.432,5.475,0,5.447
5.371,5.47,0,5.451
5.432,5.479,0,5.423
5.404,5.465,0,5.395
5.461,5.451,0,5.503
5.437,5.479,0,5.418
5.367,5.475,0,5.447
5.442,5.489,0,5.465
5.456,5.484,0,5.461
5.47,5.47,0,5.475
5.489,5.493,0,5.447
5.428,5.47,0,5.418
5.461,5.479,0,5.423
5.418,5.493,0,5.447
5.451,5.475,0,5.451
5.461,5.465,0,5.47
5.381,5.461,0,5.409
5.386,5.475,0,5.451
5.461,5.456,0,5.39
5.465,5.465,0,5.4
5.442,5.489,0,5.423
5.447,5.475,0,5.395
5.432,5.447,0,5.409
5.447,5.465,0,5.432
5.409,5.498,0,5.423
5.404,5.451,0,5.456
5.423,5.498,0,5.414
5.451,5.517,0,5.414
5.423,5.465,0,5.451
5.498,5.489,0,5.432
5.489,5.451,0,5.414
5.451,0.42,0,0
5.353,5.479,0,5.423
5.475,0.42,0,0
5.442,5.475,0,5.479
5.39,0.42,0,0
5.39,5.47,0,5.442
5.418,5.522,0,5.456
5.423,5.47,0,5.461
5.357,0.42,0,0
5.451,5.461,0,5.432
5.404,0.42,0,0
5.418,5.437,0,5.381
5.442,5.479,0,5.423
5.437,5.479,0,5.442
5.461,0.42,0,0
5.451,5.442,0,5.447
5.437,5.498,0,5.475
5.423,5.507,0,5.47
5.362,5.493,0,5.409
5.418,5.484,0,5.461
5.451,5.461,0,0
5.456,5.479,0,5.451
5.404,0.42,0,0
5.414,5.456,0,5.409
5.447,5.503,0,5.461
5.432,5.447,0,5.395
5.428,0.42,0,0
5.442,5.451,0,5.437
5.47,5.517,0,5.414
5.395,5.475,0,5.409
5.498,0.42,0,0
5.465,5.47,0,5.418
5.447,0.42,0,0
5.432,5.442,0,5.386
5.442,0.42,0,0
5.418,5.414,0,5.39
5.47,0.42,0,0
5.475,5.461,0,5.428
5.451,5.414,0,5.423
5.404,5.475,0,5.437
5.414,5.423,0,5.418
5.395,5.465,0,5.404
5.451,0.42,0,0
5.447,5.447,0,5.456
5.442,5.432,0,5.423
5.461,5.461,0,5.442
5.479,5.479,0,5.447
5.47,5.489,0,5.423
5.498,5.465,0,5.423
5.456,5.456,0,5.437
5.423,0.42,0,0
5.461,5.479,0,5.437
5.428,5.475,0,5.447
5.409,5.456,0,5.447
5.451,5.428,0,5.409
5.39,5.451,0,5.418
5.461,5.447,0,5.437
5.428,5.475,0,5.437
5.437,5.465,0,5.47
5.465,5.437,0,5.456
5.428,5.484,0,5.414
5.442,5.456,0,5.451
5.442,5.47,0,5.423
5.461,5.456,0,5.409
5.442,5.461,0,5.461
5.414,5.432,0,5.442
5.432,5.432,0,5.447
5.409,5.437,0,5.409
5.437,5.498,0,5.428
5.451,5.451,0,5.475
5.442,5.442,0,5.376
5.39,5.461,0,5.428
5.367,5.465,0,5.456
5.432,5.475,0,5.423
5.395,5.507,0,5.386
5.447,5.479,0,5.437
5.465,5.484,0,5.414
5.432,5.475,0,5.456
5.456,5.465,0,5.395
5.456,5.437,0,5.432
5.465,5.484,0,5.409
5.461,5.489,0,5.479
5.456,5.475,0,5.451
5.484,5.456,0,5.47
5.489,5.507,0,5.437
5.461,5.47,0,5.47
5.395,5.442,0,5.414
5.437,5.493,0,5.39
5.442,5.507,0,5.447
5.465,5.47,0,5.418
5.432,5.475,0,5.442
5.409,5.489,0,5.451
5.465,5.484,0,5.428
5.447,5.517,0,5.465
5.4,5.475,0,5.437
5.386,5.442,0,5.451
5.475,5.531,0,5.437
5.418,5.47,0,5.475
5.461,5.47,0,5.437
5.447,5.489,0,5.432
5.353,5.447,0,5.47
5.358,5.507,0,5.404
5.428,5.475,0,5.428
5.451,5.498,0,5.451
5.386,5.465,0,5.418
5.404,5.47,0,5.437
5.489,5.493,0,5.498
5.432,5.489,0,5.423
5.442,5.484,0,5.371
5.47,5.447,0,5.428
5.475,5.47,0,5.414
5.409,5.461,0,5.451
5.428,5.456,0,5.4
5.423,5.451,0,5.428
5.437,5.493,0,5.423
5.461,5.442,0,5.442
5.404,5.493,0,5.432
5.414,5.451,0,5.423
5.371,5.47,0,5.484
5.484,5.475,0,5.428
5.4,5.475,0,5.465
5.461,5.437,0,5.376
5.432,5.475,0,5.456
5.461,5.447,0,5.428
5.451,5.461,0,5.418
5.437,5.437,0,5.442
5.442,5.461,0,5.447
5.428,5.479,0,5.451
5.447,5.447,0,5.475
5.404,5.442,0,5.447
5.409,5.465,0,5.475
5.461,5.461,0,5.442
5.423,5.442,0,5.484
5.447,5.456,0,5.442
5.386,5.489,0,5.498
5.461,5.479,0,5.493
5.409,5.456,0,5.47
5.414,5.475,0,5.461
