A0,A1,A2,A3
16.601,16.587,16.587,16.507
16.601,16.521,16.559,16.493
16.573,16.554,16.554,16.507
16.577,16.559,16.549,16.516
16.592,16.54,16.549,16.479
16.606,16.573,16.573,16.493
16.601,16.568,16.573,16.516
16.629,16.568,16.563,16.521
16.624,16.615,16.582,16.526
16.596,16.582,16.559,16.535
16.596,16.577,16.545,16.479
16.624,16.582,16.559,16.512
16.592,16.629,16.545,16.512
16.592,16.568,16.545,16.507
16.61,16.577,16.549,16.54
16.634,16.592,16.587,16.549
16.601,16.606,16.545,16.521
16.662,16.587,16.563,16.531
16.662,16.587,16.582,16.554
16.634,16.596,16.568,16.554
16.601,16.54,16.592,16.545
16.577,16.535,16.563,16.512
16.587,16.582,16.545,16.507
16.582,16.596,16.549,16.54
16.568,16.535,16.549,16.526
16.606,16.573,16.554,16.493
16.596,16.592,16.568,16.512
16.61,16.545,16.559,16.535
16.62,16.573,16.549,16.507
16.596,16.535,16.573,16.493
16.634,16.573,16.554,16.535
16.582,16.568,16.554,16.498
16.615,16.526,16.531,16.488
16.62,16.554,16.554,16.521
16.596,16.577,16.554,16.526
16.601,16.577,16.577,16.502
16.62,16.559,16.568,16.531
16.592,16.554,16.582,16.507
16.582,16.568,16.559,16.502
16.568,16.531,16.568,16.479
16.615,16.592,16.582,16.507
16.601,16.512,16.568,16.507
16.587,16.592,16.563,16.512
16.638,16.587,16.573,16.498
16.61,16.554,16.577,16.502
16.577,16.563,16.545,16.512
16.624,16.582,16.545,16.502
16.577,16.545,16.563,16.474
16.624,16.601,16.554,16.493
16.582,16.549,16.559,16.493
16.573,16.582,16.549,16.549
16.685,16.587,16.568,16.512
16.596,16.577,16.559,16.498
16.634,16.573,16.582,16.512
16.592,16.61,16.573,16.484
16.624,16.577,16.554,16.526
16.615,16.568,16.549,16.479
16.592,16.573,16.554,16.488
16.568,16.573,16.563,16.521
16.624,16.577,16.563,16.516
16.606,16.559,16.545,16.493
16.596,16.596,16.573,16.498
16.596,16.559,16.568,16.502
16.61,16.573,16.545,16.46
16.596,16.54,16.545,16.488
